62	3.961e-08
63	4.26569e-08
64	5.48446e-08
65	5.78915e-08
66	6.39854e-08
67	7.31261e-08
68	8.53138e-08
69	8.83608e-08
70	1.09689e-07
71	1.34065e-07
72	1.64534e-07
73	1.88909e-07
74	2.19378e-07
75	2.62035e-07
76	3.5649e-07
77	4.60085e-07
78	8.22669e-07
79	1.15783e-06
80	1.51432e-06
81	1.883e-06
82	2.3309e-06
83	2.93723e-06
84	4.14077e-06
85	5.12188e-06
86	7.33394e-06
87	9.56124e-06
88	1.16271e-05
89	1.85405e-05
90	2.99817e-05
91	3.77544e-05
92	4.56581e-05
93	5.16118e-05
94	5.7791e-05
95	7.77636e-05
96	9.08684e-05
97	0.000101996
98	0.000115643
99	0.00012745
100	0.000139238
101	0.000155841
102	0.000169519
103	0.000179994
104	0.000217404
105	0.000237736
106	0.00025855
107	0.000272843
108	0.000292422
109	0.000318754
110	0.000339068
111	0.000350442
112	0.000366514
113	0.000380189
114	0.000395878
115	0.000458781
116	0.000469613
117	0.000493202
118	0.000510795
119	0.000531051
120	0.000553586
121	0.000661009
122	0.000697617
123	0.000736597
124	0.000755131
125	0.000780323
126	0.000794805
127	0.000802453
128	0.000824796
129	0.000841478
130	0.000887657
131	0.00090096
132	0.000954951
133	0.000952599
134	0.000998016
135	0.00101253
136	0.0010307
137	0.00108815
138	0.00110246
139	0.0011381
140	0.00116183
141	0.00118145
142	0.00119781
143	0.00135927
